Регион,Марка,Кол-во об. марки,Ссылка на марку,Модель,Кол-во об. модели,Ссылка на модель
adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,https://auto.ru/adygeya/cars/vaz/granta/all/
adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Vesta,202,https://auto.ru/adygeya/cars/vaz/vesta/all/
adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Niva,43,https://auto.ru/adygeya/cars/vaz/niva/all/
adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Niva Legend,37,https://auto.ru/adygeya/cars/vaz/niva_legend/all/
adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Priora,21,https://auto.ru/adygeya/cars/vaz/2170/used/
altay,Toyota,32,https://auto.ru/altay/cars/toyota/all/,Camry,6,https://auto.ru/altay/cars/toyota/camry/used/
altay,Toyota,32,https://auto.ru/altay/cars/toyota/all/,RAV4,5,https://auto.ru/altay/cars/toyota/rav_4/used/
altay,Toyota,32,https://auto.ru/altay/cars/toyota/all/,Corolla,3,https://auto.ru/altay/cars/toyota/corolla/used/
altay,Toyota,32,https://auto.ru/altay/cars/toyota/all/,Allion,3,https://auto.ru/altay/cars/toyota/allion/used/
altay,Toyota,32,https://auto.ru/altay/cars/toyota/all/,Land Cruiser,2,https://auto.ru/altay/cars/toyota/land_cruiser/used/
adygeya,Geely,233,https://auto.ru/adygeya/cars/geely/all/,Monjaro,62,https://auto.ru/adygeya/cars/geely/monjaro/all/
adygeya,Geely,233,https://auto.ru/adygeya/cars/geely/all/,Emgrand,38,https://auto.ru/adygeya/cars/geely/emgrand/new/
adygeya,Geely,233,https://auto.ru/adygeya/cars/geely/all/,Coolray,37,https://auto.ru/adygeya/cars/geely/coolray/new/
adygeya,Geely,233,https://auto.ru/adygeya/cars/geely/all/,Atlas Pro,34,https://auto.ru/adygeya/cars/geely/atlas_pro/new/
adygeya,Geely,233,https://auto.ru/adygeya/cars/geely/all/,Tugella,30,https://auto.ru/adygeya/cars/geely/tugella/all/
altay,Nissan,11,https://auto.ru/altay/cars/nissan/all/,Terrano,2,https://auto.ru/altay/cars/nissan/terrano/used/
altay,Nissan,11,https://auto.ru/altay/cars/nissan/all/,Pathfinder,2,https://auto.ru/altay/cars/nissan/pathfinder/used/
altay,Nissan,11,https://auto.ru/altay/cars/nissan/all/,X-Trail,1,https://auto.ru/altay/cars/nissan/x_trail/used/
altay,Nissan,11,https://auto.ru/altay/cars/nissan/all/,Sunny,1,https://auto.ru/altay/cars/nissan/sunny/used/
altay,Nissan,11,https://auto.ru/altay/cars/nissan/all/,Qashqai,1,https://auto.ru/altay/cars/nissan/qashqai/used/
adygeya,Haval,135,https://auto.ru/adygeya/cars/haval/all/,Jolion,40,https://auto.ru/adygeya/cars/haval/jolion/all/
adygeya,Haval,135,https://auto.ru/adygeya/cars/haval/all/,H3,25,https://auto.ru/adygeya/cars/haval/h3/new/
adygeya,Haval,135,https://auto.ru/adygeya/cars/haval/all/,F7x,22,https://auto.ru/adygeya/cars/haval/f7x/all/
adygeya,Haval,135,https://auto.ru/adygeya/cars/haval/all/,Dargo,19,https://auto.ru/adygeya/cars/haval/dargo/new/
adygeya,Haval,135,https://auto.ru/adygeya/cars/haval/all/,M6,16,https://auto.ru/adygeya/cars/haval/m6/new/
altay,УАЗ,7,https://auto.ru/altay/cars/uaz/all/,Patriot,3,https://auto.ru/altay/cars/uaz/patriot/used/
altay,УАЗ,7,https://auto.ru/altay/cars/uaz/all/,Hunter,3,https://auto.ru/altay/cars/uaz/hunter/used/
altay,УАЗ,7,https://auto.ru/altay/cars/uaz/all/,3151,1,https://auto.ru/altay/cars/uaz/3151/used/
adygeya,Tank,62,https://auto.ru/adygeya/cars/tank/all/,300,36,https://auto.ru/adygeya/cars/tank/300/new/
adygeya,Tank,62,https://auto.ru/adygeya/cars/tank/all/,500,26,https://auto.ru/adygeya/cars/tank/500/new/
altay,Subaru,6,https://auto.ru/altay/cars/subaru/all/,Tribeca,2,https://auto.ru/altay/cars/subaru/b9_tribeca/used/
altay,Subaru,6,https://auto.ru/altay/cars/subaru/all/,Outback,1,https://auto.ru/altay/cars/subaru/outback/used/
altay,Subaru,6,https://auto.ru/altay/cars/subaru/all/,Legacy Lancaster,1,https://auto.ru/altay/cars/subaru/legacy_lancaster/used/
altay,Subaru,6,https://auto.ru/altay/cars/subaru/all/,Legacy,1,https://auto.ru/altay/cars/subaru/legacy/used/
altay,Subaru,6,https://auto.ru/altay/cars/subaru/all/,Forester,1,https://auto.ru/altay/cars/subaru/forester/used/
adygeya,Hyundai,42,https://auto.ru/adygeya/cars/hyundai/all/,Solaris,14,https://auto.ru/adygeya/cars/hyundai/solaris/used/
adygeya,Hyundai,42,https://auto.ru/adygeya/cars/hyundai/all/,Elantra,7,https://auto.ru/adygeya/cars/hyundai/elantra/used/
adygeya,Hyundai,42,https://auto.ru/adygeya/cars/hyundai/all/,Accent,6,https://auto.ru/adygeya/cars/hyundai/accent/used/
adygeya,Hyundai,42,https://auto.ru/adygeya/cars/hyundai/all/,ix35,4,https://auto.ru/adygeya/cars/hyundai/ix35/used/
adygeya,Hyundai,42,https://auto.ru/adygeya/cars/hyundai/all/,Santa Fe,3,https://auto.ru/adygeya/cars/hyundai/santa_fe/used/
altay,Mercedes-Benz,6,https://auto.ru/altay/cars/mercedes/all/,E-Класс,2,https://auto.ru/altay/cars/mercedes/e_klasse/used/
altay,Mercedes-Benz,6,https://auto.ru/altay/cars/mercedes/all/,C-Класс,2,https://auto.ru/altay/cars/mercedes/c_klasse/used/
altay,Mercedes-Benz,6,https://auto.ru/altay/cars/mercedes/all/,S-Класс,1,https://auto.ru/altay/cars/mercedes/s_klasse/used/
altay,Mercedes-Benz,6,https://auto.ru/altay/cars/mercedes/all/,CLA,1,https://auto.ru/altay/cars/mercedes/cla_klasse/used/
